"S.N","Scrip","Current Balance","Pledge Balance","Locking Balance","Freeze Balance","Free Balance","Demat Pending","Remarks"
"1","AKJCL","20.0","0.0","0.0","0.0","20.0","0.0"," "
"2","AKPL","197.0","0.0","0.0","0.0","197.0","0.0"," "
"3","API","381.0","0.0","0.0","0.0","381.0","0.0"," "
"4","CBBL","19.0","0.0","0.0","0.0","19.0","0.0"," "
"5","CHCL","59.0","0.0","0.0","0.0","59.0","0.0"," "
"6","CZBIL","3.0","0.0","0.0","0.0","3.0","0.0"," "
"7","DDBL","71.0","0.0","0.0","0.0","71.0","0.0"," "
"8","EBL","37.0","0.0","0.0","0.0","37.0","0.0"," "
"9","GHL","30.0","0.0","0.0","0.0","30.0","0.0"," "
"10","HBL","11.0","0.0","0.0","0.0","11.0","0.0"," "
"11","HDHPC","100.0","0.0","0.0","0.0","100.0","0.0"," "
"12","HPPL","10.0","0.0","0.0","0.0","10.0","0.0"," "
"13","JOSHI","20.0","0.0","0.0","0.0","20.0","0.0"," "
"14","LBL","24.0","0.0","0.0","0.0","24.0","0.0"," "
"15","LICN","1.0","0.0","0.0","0.0","1.0","0.0"," "
"16","MDB","43.0","0.0","0.0","0.0","43.0","0.0"," "
"17","NABIL","79.0","0.0","0.0","0.0","79.0","0.0"," "
"18","NIBPO","277.0","0.0","0.0","0.0","277.0","0.0"," "
"19","NICA","3.0","0.0","0.0","0.0","3.0","0.0"," "
"20","NMFBS","7.0","0.0","0.0","0.0","7.0","0.0"," "
"21","NRIC","50.0","0.0","0.0","0.0","50.0","0.0"," "
"22","PFL","14.0","0.0","0.0","0.0","14.0","0.0"," "
"23","RHPL","50.0","0.0","0.0","0.0","50.0","0.0"," "
"24","RRHP","10.0","0.0","0.0","0.0","10.0","0.0"," "
"25","SADBL","10.0","0.0","0.0","0.0","10.0","0.0"," "
"26","SANIMA","1.0","0.0","0.0","0.0","1.0","0.0"," "
"27","SBL","22.0","0.0","0.0","0.0","22.0","0.0"," "
"28","SHIVM","100.0","0.0","0.0","0.0","100.0","0.0"," "
"29","SICL","8.0","0.0","0.0","0.0","8.0","0.0"," "
"30","SJCL","20.0","0.0","0.0","0.0","20.0","0.0"," "
"31","TJVCL","20.0","0.0","0.0","0.0","20.0","0.0"," "
"32","UNHPL","50.0","0.0","0.0","0.0","50.0","0.0"," "
"33","UPPER","40.0","0.0","0.0","0.0","40.0","0.0"," "
"34","VLBS","13.0","0.0","0.0","0.0","13.0","0.0"," "
