open_price,high_price,prev_closing,volume,symbol,low_price,per_change,change_price,ltv,ltp,trans_date
96,101,92,249472,UPCL,96,8.7,8.00,72,100.00,2020-09-07 14:00:58
885,885,848,4520,SLBBL,838,0.35,-3.00,28,845.00,2020-09-07 14:00:58
122,125,124,2390,GUFL,120,0.81,1.00,100,125.00,2020-09-07 14:00:58
429,429,427,53153,NMB,419,1.41,-6.00,175,421.00,2020-09-07 14:00:58
942,942,942,1014,SPARS,909,1.17,-11.00,11,931.00,2020-09-07 14:00:58
182,184,185,8101,LBBL,181,1.62,-3.00,100,182.00,2020-09-07 14:00:58
871,880,871,224624,NRIC,854,0.92,-8.00,40,863.00,2020-09-07 14:00:58
710,724,704,65794,SHIVM,691,0.85,6.00,200,710.00,2020-09-07 14:00:58
870,896,862,61843,RMDC,856,2.55,22.00,1500,884.00,2020-09-07 14:00:58
581,590,590,23282,PRIN,572,1.53,-9.00,2400,581.00,2020-09-07 14:00:58
9,9,9,7600,NMB50,9,0.43,-0.04,100,9.30,2020-09-07 14:00:58
172,177,174,5572,ICFC,172,0,0.00,10,174.00,2020-09-07 14:00:58
257,262,260,45240,SHPC,255,0.77,-2.00,24,258.00,2020-09-07 14:00:58
120,121,122,4460,KPCL,115,2.46,-3.00,10,119.00,2020-09-07 14:00:58
58,60,59,53940,NHPC,56,1.69,1.00,100,60.00,2020-09-07 14:00:58
203,203,201,24197,NBB,197,1.49,-3.00,150,198.00,2020-09-07 14:00:58
9,9,9,54000,GIMES1,9,1.1,-0.10,1000,9.00,2020-09-07 14:00:58
842,878,859,11087,ALBSL,835,0.47,4.00,11,863.00,2020-09-07 14:00:58
135,141,129,28458,RLFL,133,5.43,7.00,50,136.00,2020-09-07 14:00:58
145,149,145,20947,CBL,143,1.38,-2.00,250,143.00,2020-09-07 14:00:58
566,575,574,38664,SLICL,561,1.05,-6.00,160,568.00,2020-09-07 14:00:58
232,232,228,5947,RADHI,224,0.44,-1.00,12,227.00,2020-09-07 14:00:58
696,706,705,9430,NTC,695,0.71,-5.00,119,700.00,2020-09-07 14:00:58
250,250,250,50186,UPPER,243,2.8,-7.00,50,243.00,2020-09-07 14:00:58
1391,1395,1380,142,JSLBB,1389,0.65,9.00,35,1389.00,2020-09-07 14:00:58
302,304,305,20332,SBL,301,0.98,-3.00,82,302.00,2020-09-07 14:00:58
174,174,177,142816,AKPL,166,3.95,-7.00,100,170.00,2020-09-07 14:00:58
1090,1103,1098,12983,CBBL,1080,0.27,-3.00,50,1095.00,2020-09-07 14:00:58
776,785,787,964,GLBSL,763,2.8,-22.00,10,765.00,2020-09-07 14:00:58
114,114,112,810,RRHP,106,1.79,-2.00,10,110.00,2020-09-07 14:00:58
591,592,588,47737,NICA,576,1.36,-8.00,25,580.00,2020-09-07 14:00:58
863,863,855,15222,NABIL,842,0.7,-6.00,14,849.00,2020-09-07 14:00:58
3161,3290,3011,42036,CIT,3050,6.61,199.00,71,3210.00,2020-09-07 14:00:58
10,10,10,2200,NICBF,10,0.8,-0.08,100,9.95,2020-09-07 14:00:58
428,441,428,14963,CHCL,420,1.64,7.00,50,435.00,2020-09-07 14:00:58
