trans_date,open_price,last_updated_price,ltp,low_price,high_price,prev_closing,security_name,fiftyTwoWeekLow,total_sell_qty,fiftyTwoWeekHigh,total_traded_qty,total_traded_value,ltp_datetime,total_buy_qty,total_trades,symbol,security_id,avg_traded_price
2020-09-22,741.0,732.0,734.0,725.0,741.0,741.0,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,433.64,1600154,813.0,5813,4268098.0,2020-09-22T14:59:37.445784,7701974,173,ACLBSL,2790,734.23
2020-09-22,440.0,434.0,434.0,431.0,440.0,436.0,Agriculture Development Bank Limited,313.0,39876104,475.0,93124,40512495.0,2020-09-22T14:59:39.407448,51695319,309,ADBL,397,435.04
2020-09-22,171.0,164.0,164.0,163.0,174.0,171.0,Arun Valley Hydropower Development Co. Ltd.,88.0,26807720,186.0,154980,26182954.0,2020-09-22T14:59:44.558364,33921665,356,AHPC,360,168.94
2020-09-22,520.0,513.0,514.0,513.0,520.0,520.0,Ajod Insurance Limited,291.0,6163824,580.0,25916,13400306.0,2020-09-22T14:59:22.887837,26729813,1095,AIL,2893,517.07
2020-09-22,87.0,81.0,81.0,80.0,87.0,88.0,Ankhu Khola Jalvidhyut Company Ltd,46.4,1630165,99.0,8280,669590.0,2020-09-22T14:59:16.461046,7281814,154,AKJCL,2788,80.87
2020-09-22,196.0,190.0,190.0,187.0,198.0,195.0,Arun Kabeli Power Ltd.,100.0,41044822,211.0,135947,26116883.0,2020-09-22T14:59:33.335225,58522686,350,AKPL,2757,192.11
2020-09-22,854.0,865.0,868.0,847.0,865.0,870.0,Asha Laghubitta Bittiya Sanstha Ltd,373.0,4076874,995.0,2594,2211877.0,2020-09-22T14:59:39.04778,7592514,110,ALBSL,2807,852.69
2020-09-22,752.0,737.0,737.0,731.0,754.0,738.0,Asian Life Insurance Co. Limited,304.0,22177474,788.0,28351,20892370.0,2020-09-22T14:58:13.274959,26599353,165,ALICL,385,736.92
2020-09-22,152.0,155.0,156.0,152.0,162.0,159.0,Api Power Company Ltd.,100.0,48926813,175.0,121860,19261354.0,2020-09-22T14:59:45.401829,51206378,371,API,697,158.06
2020-09-22,129.0,135.0,135.0,129.0,139.0,129.0,Barun Hydropower Co. Ltd.,76.0,3835067,149.0,93468,12427547.0,2020-09-22T14:59:45.962686,4523693,282,BARUN,686,132.96
2020-09-22,1690.0,1666.0,1666.0,1666.0,1700.0,1710.0,Bishal Bazar Company Limited,1366.0,445182,2289.0,495,833660.0,2020-09-22T14:46:13.995342,427372,9,BBC,156,1684.16
2020-09-22,116.0,118.0,118.0,116.0,127.0,122.0,Best Finance Company Ltd.,81.0,6797073,132.0,21299,2551387.0,2020-09-22T14:59:37.619789,7693088,103,BFC,227,119.79
2020-09-22,6605.0,6557.0,6557.0,6556.0,6605.0,6600.0,Bottlers Nepal (Terai) Limited,5847.0,127589,9274.0,110,721740.0,2020-09-22T14:57:43.166245,125289,5,BNT,213,6561.27
2020-09-22,275.0,257.0,257.0,253.0,275.0,267.0,Bank of Kathmandu Ltd.,186.0,40883184,296.0,128552,33347408.0,2020-09-22T14:59:23.158384,43893330,420,BOKL,138,259.41
2020-09-22,408.0,397.0,397.0,396.0,408.0,405.0,Butwal Power Company Limited,284.0,18723199,430.0,40532,16273374.0,2020-09-22T14:59:44.515079,23955646,252,BPCL,153,401.49
2020-09-22,1130.0,1118.0,1118.0,1110.0,1130.0,1130.0,Chhimek Laghubitta Bikas Bank Limited,751.0,17146993,1343.0,42111,47026087.0,2020-09-22T14:57:31.900136,17555461,155,CBBL,164,1116.72
2020-09-22,160.0,156.0,156.0,155.0,162.0,159.0,Civil Bank Ltd,125.0,97300418,167.0,201798,31924367.0,2020-09-22T14:59:45.31608,133358306,452,CBL,532,158.2
2020-09-22,188.0,180.0,180.0,179.0,188.0,188.0,Century Commercial Bank Ltd.,136.0,50472669,210.0,102321,18656118.0,2020-09-22T14:59:40.229533,70427147,324,CCBL,605,182.33
2020-09-22,141.0,137.0,137.0,137.0,146.0,143.0,Central Finance Co. Ltd.,105.0,6551851,163.0,9077,1284278.0,2020-09-22T14:59:47.856862,8675800,63,CFCL,245,141.49
