"S.N","Scrip","Current Balance","Pledge Balance","Locking Balance","Freeze Balance","Free Balance","Demat Pending","Remarks"
"1","BPCL","24.0","0.0","0.0","0.0","24.0","0.0"," "
"2","GBLBS","15.0","0.0","0.0","0.0","15.0","0.0"," "
"3","HPPL","10.0","0.0","0.0","0.0","10.0","0.0"," "
"4","JOSHI","20.0","0.0","0.0","0.0","20.0","0.0"," "
"5","NIB","49.0","0.0","0.0","0.0","49.0","0.0"," "
"6","NLIC","22.0","0.0","0.0","0.0","22.0","0.0"," "
"7","NMB","15.0","0.0","0.0","0.0","15.0","0.0"," "
"8","NRIC","10.0","0.0","0.0","0.0","10.0","0.0"," "
"9","PFL","14.0","0.0","0.0","0.0","14.0","0.0"," "
"10","RRHP","10.0","0.0","0.0","0.0","10.0","0.0"," "
"11","SCB","20.0","0.0","0.0","0.0","20.0","0.0"," "
"12","UPPER","40.0","0.0","0.0","0.0","40.0","0.0"," "
