"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","AKJCL","10.0","53","530.00","53","530.00"
"2","BPCL","24.0","363","8712.00","364","8736.00"
"3","CZBIL","10.0","194","1940.00","195","1950.00"
"4","FMDBL","174.0","537","93438.00","552","96048.00"
"5","GBLBS","15.0","495","7425.00","497","7455.00"
"6","HPPL","10.0","137","1370.00","137","1370.00"
"7","JOSHI","20.0","61","1220.00","60","1200.00"
"8","NIB","49.0","421","20629.00","421","20629.00"
"9","NLIC","22.0","1384","30448.00","1385","30470.00"
"10","NMB","15.0","421","6315.00","421","6315.00"
"11","NRIC","40.0","624","24960.00","666","26640.00"
"12","PFL","14.0","153","2142.00","150","2100.00"
"13","PIC","11.0","710","7810.00","706","7766.00"
"14","RADHI","12.0","174","2088.00","173","2076.00"
"15","RBCL","11.0","9651","106161.00","9693","106623.00"
"16","RHPL","30.0","145","4350.00","147","4410.00"
"17","RRHP","10.0","91","910.00","91","910.00"
"18","SBI","24.0","419","10056.00","422","10128.00"
"19","SCB","20.0","646","12920.00","646","12920.00"
"20","SICL","10.0","1248","12480.00","1244","12440.00"
"21","SJCL","20.0","135","2700.00","135","2700.00"
"22","TJVCL","20.0","10","200.00","10","200.00"
"23","UPPER","50.0","221","11050.00","224","11200.00"
"Total :"," "," "," ","369854.0"," ","374816.0"
