"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","ACLBSL","10.0","719","7190.00","714","7140.00"
"2","AKJCL","20.0","53","1060.00","53","1060.00"
"3","BPCL","24.0","363","8712.00","363","8712.00"
"4","HPPL","10.0","137","1370.00","137","1370.00"
"5","JOSHI","20.0","61","1220.00","58","1160.00"
"6","NIB","180.0","421","75780.00","421","75780.00"
"7","NICA","421.0","574","241654.00","577","242917.00"
"8","NMB","15.0","421","6315.00","421","6315.00"
"9","NRIC","40.0","624","24960.00","665","26600.00"
"10","PFL","42.0","153","6426.00","150","6300.00"
"11","RHPL","40.0","145","5800.00","147","5880.00"
"12","RRHP","10.0","91","910.00","92","920.00"
"13","SCB","20.0","646","12920.00","646","12920.00"
"14","SICL","59.0","1248","73632.00","1244","73396.00"
"15","SJCL","20.0","135","2700.00","136","2720.00"
"16","SLBS","24.0","939","22536.00","942","22608.00"
"17","SLBSL","10.0","804","8040.00","835","8350.00"
"18","TJVCL","30.0","10","300.00","10","300.00"
"19","UPPER","50.0","221","11050.00","223","11150.00"
"Total :"," "," "," ","512575.0"," ","515598.0"
