"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","AKJCL","10.0","53","530.00","53","530.00"
"2","BPCL","24.0","363","8712.00","364","8736.00"
"3","CHCL","2081.0","395","821995.00","395","821995.00"
"4","HPPL","10.0","137","1370.00","137","1370.00"
"5","ILBS","11.0","747","8217.00","749","8239.00"
"6","JOSHI","20.0","61","1220.00","60","1200.00"
"7","MEGA","195.0","224","43680.00","223","43485.00"
"8","NHDL","10.0","130","1300.00","134","1340.00"
"9","NIB","49.0","421","20629.00","420","20580.00"
"10","NLIC","22.0","1384","30448.00","1390","30580.00"
"11","NMB","15.0","421","6315.00","422","6330.00"
"12","NRIC","20.0","624","12480.00","665","13300.00"
"13","PFL","14.0","153","2142.00","150","2100.00"
"14","PIC","11.0","710","7810.00","707","7777.00"
"15","RHPL","70.0","145","10150.00","147","10290.00"
"16","RRHP","10.0","91","910.00","92","920.00"
"17","UMHL","10.0","103","1030.00","103","1030.00"
"18","UPPER","50.0","221","11050.00","224","11200.00"
"Total :"," "," "," ","989988.0"," ","991002.0"
