"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","AKJCL","20.0","53","1060.00","52","1040.00"
"2","AKPL","197.0","117","23049.00","116","22852.00"
"3","API","381.0","109","41529.00","107","40767.00"
"4","CBBL","19.0","1085","20615.00","1084","20596.00"
"5","CHCL","59.0","395","23305.00","397","23423.00"
"6","CZBIL","3.0","194","582.00","194","582.00"
"7","DDBL","71.0","848","60208.00","851","60421.00"
"8","EBL","37.0","720","26640.00","719","26603.00"
"9","GHL","30.0","62","1860.00","62","1860.00"
"10","HBL","11.0","552","6072.00","555","6105.00"
"11","HDHPC","100.0","92","9200.00","96","9600.00"
"12","HPPL","10.0","137","1370.00","137","1370.00"
"13","JOSHI","20.0","61","1220.00","59","1180.00"
"14","LBL","24.0","230","5520.00","230","5520.00"
"15","LICN","1.0","1485","1485.00","1477","1477.00"
"16","MDB","43.0","337","14491.00","333","14319.00"
"17","NABIL","79.0","830","65570.00","829","65491.00"
"18","NIBPO","277.0","359","99443.00","357","98889.00"
"19","NICA","3.0","574","1722.00","577","1731.00"
"20","NMFBS","7.0","1545","10815.00","1535","10745.00"
"21","NRIC","50.0","624","31200.00","660","33000.00"
"22","PFL","14.0","153","2142.00","150","2100.00"
"23","RHPL","50.0","145","7250.00","147","7350.00"
"24","RRHP","10.0","91","910.00","91","910.00"
"25","SADBL","10.0","145","1450.00","146","1460.00"
"26","SANIMA","1.0","341","341.00","342","342.00"
"27","SBL","22.0","299","6578.00","302","6644.00"
"28","SHIVM","100.0","650","65000.00","648","64800.00"
"29","SICL","8.0","1248","9984.00","1245","9960.00"
"30","SJCL","20.0","135","2700.00","135","2700.00"
"31","TJVCL","20.0","10","200.00","10","200.00"
"32","UNHPL","50.0","61","3050.00","59","2950.00"
"33","UPPER","40.0","221","8840.00","223","8920.00"
"34","VLBS","13.0","904","11752.00","915","11895.00"
"Total :"," "," "," ","567153.0"," ","567802.0"
