"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","AKJCL","20.0","53","1060.00","53","1060.00"
"2","BPCL","24.0","363","8712.00","363","8712.00"
"3","CZBIL","10.0","194","1940.00","195","1950.00"
"4","FMDBL","174.0","537","93438.00","555","96570.00"
"5","GBLBS","15.0","495","7425.00","496","7440.00"
"6","GMFBS","10.0","790","7900.00","813","8130.00"
"7","HPPL","10.0","137","1370.00","137","1370.00"
"8","ILBS","11.0","747","8217.00","749","8239.00"
"9","JOSHI","20.0","61","1220.00","58","1160.00"
"10","NHDL","10.0","130","1300.00","134","1340.00"
"11","NIB","49.0","421","20629.00","421","20629.00"
"12","NLIC","22.0","1384","30448.00","1380","30360.00"
"13","NMB","15.0","421","6315.00","421","6315.00"
"14","PFL","14.0","153","2142.00","150","2100.00"
"15","RADHI","12.0","174","2088.00","173","2076.00"
"16","RHPL","40.0","145","5800.00","147","5880.00"
"17","SCB","20.0","646","12920.00","646","12920.00"
"18","SICL","10.0","1248","12480.00","1244","12440.00"
"19","SJCL","20.0","135","2700.00","136","2720.00"
"20","TJVCL","20.0","10","200.00","10","200.00"
"21","UPPER","50.0","221","11050.00","223","11150.00"
"Total :"," "," "," ","239354.0"," ","242761.0"
