ACLBSL,1531.00,1530.00,1560.00,1526.00,1206,1851107,64,1531.00,1530.00,1534.91,1938.00,433.64,4390.34
ADBL,484.00,458.00,491.00,458.00,97084,47377353,450,484.00,482.00,488.00,576.00,343.00,53191.26
AHPC,448.00,447.00,461.00,444.00,147760,66648229,629,448.00,440.00,451.06,590.00,91.00,7044.17
AIL,815.00,820.00,833.00,813.00,6255,5097899,206,815.00,805.00,815.01,1125.00,291.00,8150.00
AKJCL,271.00,270.00,289.00,269.00,7161,1977646,153,271.00,269.00,276.17,349.00,46.40,2168.00
AKPL,433.00,430.00,440.00,425.00,189336,82294462,770,433.00,425.00,434.65,553.00,108.00,6865.86
ALBSL,1724.00,1710.00,1742.00,1710.00,1948,3358497,63,1724.00,1708.00,1724.07,1978.00,560.00,4605.34
ALICL,1365.00,1365.00,1383.00,1363.00,8450,11581115,93,1365.00,1363.00,1370.55,1565.00,511.00,27446.88
API,389.00,380.00,399.00,375.00,300261,117201308,1335,387.00,374.00,390.33,481.00,105.00,9712.23
BARUN,539.00,565.00,565.00,525.00,27461,14930324,156,539.00,541.00,543.69,677.00,79.00,1444.02
