low_price,per_change,ltv,ltp,prev_closing,symbol,trans_date,change_price,source,volume,high_price,open_price
1375,1.16,10,1396.00,1380,SICL,2020-11-03 15:00:00,16.00,stocklive,24244,1398,1380
255,3.14,225,263.00,255,AKPL,2020-11-03 15:00:00,8.00,stocklive,168191,267,255
139,0,595,142.00,142,HDHPC,2020-11-03 15:00:00,0.00,stocklive,114057,144,144
178,2.75,500,187.00,182,KPCL,2020-11-03 15:00:00,5.00,stocklive,15975,191,179
730,0.81,10,739.00,745,SHIVM,2020-11-03 15:00:00,-6.00,stocklive,42630,750,750
226,0.87,10,227.00,229,NBB,2020-11-03 15:00:00,-2.00,stocklive,68041,231,228
245,2.33,10,251.00,257,AHPC,2020-11-03 15:00:00,-6.00,stocklive,185490,257,257
110,0,50,112.00,112,NHPC,2020-11-03 15:00:00,0.00,stocklive,125463,114,114
341,1.16,59,341.00,345,PCBL,2020-11-03 15:00:00,-4.00,stocklive,234003,349,345
333,0.3,10,337.00,336,NBL,2020-11-03 15:00:00,1.00,stocklive,88171,340,333
231,0.43,10,235.00,234,NCCB,2020-11-03 15:00:00,1.00,stocklive,44739,235,232
883,0.9,50,883.00,891,RMDC,2020-11-03 15:00:00,-8.00,stocklive,23386,905,902
428,0.23,200,430.00,431,NIB,2020-11-03 15:00:00,-1.00,stocklive,27895,434,433
182,9.73,500,203.00,185,PPCL,2020-11-03 15:00:00,18.00,stocklive,45343,203,183
810,0.12,65,817.00,818,MLBBL,2020-11-03 15:00:00,-1.00,stocklive,3895,835,820
1414,0.56,96,1428.00,1420,SKBBL,2020-11-03 15:00:00,8.00,stocklive,14425,1448,1448
549,0,188,550.00,550,NICL,2020-11-03 15:00:00,0.00,stocklive,24752,556,556
857,0.23,490,863.00,861,NRIC,2020-11-03 15:00:00,2.00,stocklive,47681,869,862
341,0.58,10,345.00,347,NRN,2020-11-03 15:00:00,-2.00,stocklive,9276,350,341
572,1.2,10,589.00,582,RLI,2020-11-03 15:00:00,7.00,stocklive,24904,590,585
220,1.35,10,220.00,223,LBBL,2020-11-03 15:00:00,-3.00,stocklive,46675,223,221
158,9.43,500,174.00,159,SSHL,2020-11-03 15:00:00,15.00,stocklive,346608,174,166
503,0.2,10,506.00,507,HGI,2020-11-03 15:00:00,-1.00,stocklive,5602,507,503
9,2.22,2000,9.21,9,LUK,2020-11-03 15:00:00,0.20,stocklive,33700,9,9
