total_traded_qty,avg_traded_price,security_name,security_id,trans_date,high_price,total_trades,fiftyTwoWeekHigh,ltp,symbol,total_traded_value,ltp_datetime,fiftyTwoWeekLow,total_buy_qty,prev_closing,low_price,open_price,total_sell_qty,last_updated_price
53871,467.06,Agriculture Development Bank Limited,397,2020-11-03,480.0,243,483.0,467.0,ADBL,25160965.0,2020-11-03T14:58:36.899599,313.0,63744391,469.0,465.0,480.0,47006513,467.0
185490,249.78,Arun Valley Hydropower Development Co. Ltd.,360,2020-11-03,257.0,412,282.0,251.0,AHPC,46332014.0,2020-11-03T14:59:58.592572,88.0,104965066,257.0,245.0,257.0,61459540,251.0
12989,512.78,Ajod Insurance Limited,2893,2020-11-03,515.0,452,580.0,512.0,AIL,6660511.0,2020-11-03T14:59:54.76432,291.0,31044973,511.0,505.0,505.0,7872986,512.0
5830,117.1,Ankhu Khola Jalvidhyut Company Ltd,2788,2020-11-03,119.0,185,144.0,116.0,AKJCL,682690.0,2020-11-03T14:59:31.254507,46.4,12281788,118.0,116.0,116.0,3139707,116.0
168191,260.45,Arun Kabeli Power Ltd.,2757,2020-11-03,267.0,300,277.0,263.0,AKPL,43804516.0,2020-11-03T14:59:59.001918,100.0,104557699,255.0,255.0,255.0,74055712,263.0
11326,867.82,Asha Laghubitta Bittiya Sanstha Ltd,2807,2020-11-03,895.0,126,995.0,863.0,ALBSL,9828906.0,2020-11-03T14:59:49.142082,376.0,8257399,870.0,854.0,886.0,4633341,863.0
14135,738.65,Asian Life Insurance Co. Limited,385,2020-11-03,742.0,74,788.0,738.0,ALICL,10440861.0,2020-11-03T14:59:53.36246,305.0,28807685,740.0,736.0,736.0,23982672,738.0
203018,237.11,Api Power Company Ltd.,697,2020-11-03,240.0,394,249.0,237.0,API,48137970.0,2020-11-03T14:59:44.895416,100.0,96665626,238.0,235.0,240.0,82058236,237.0
13742,194.94,Barun Hydropower Co. Ltd.,686,2020-11-03,200.0,52,217.0,196.0,BARUN,2678922.0,2020-11-03T14:50:59.664093,76.0,11805718,194.0,193.0,197.0,9275245,196.0
2446,2338.3,Bishal Bazar Company Limited,156,2020-11-03,2341.0,75,2341.0,2341.0,BBC,5719486.0,2020-11-03T13:35:51.443251,1366.0,535100,2129.0,2235.0,2235.0,478673,2341.0
12547,144.32,Best Finance Company Ltd.,227,2020-11-03,146.0,72,161.0,144.0,BFC,1810743.0,2020-11-03T14:58:36.615687,81.0,11497025,141.0,140.0,141.0,10478792,144.0
40,6700.0,Bottlers Nepal (Terai) Limited,213,2020-11-03,6700.0,3,9274.0,6700.0,BNT,268000.0,2020-11-03T14:39:06.166505,5847.0,146229,6586.0,6700.0,6700.0,140691,6700.0
44213,281.86,Bank of Kathmandu Ltd.,138,2020-11-03,283.0,177,296.0,282.0,BOKL,12461941.0,2020-11-03T14:59:23.709788,186.0,57006686,282.0,280.0,282.0,55498847,282.0
15777,413.7,Butwal Power Company Limited,153,2020-11-03,415.0,199,433.0,414.0,BPCL,6527017.0,2020-11-03T14:59:38.12064,284.0,30357624,413.0,412.0,412.0,24292813,414.0
34488,1189.82,Chhimek Laghubitta Bikas Bank Limited,164,2020-11-03,1208.0,307,1343.0,1182.0,CBBL,41034548.0,2020-11-03T14:58:47.059577,751.0,19235420,1168.0,1168.0,1168.0,18485690,1182.0
30000,570.0,Chhimek Laghubitta Bikas Bank Limited Promoter Share,698,2020-11-03,570.0,3,613.0,570.0,CBBLPO,17100000.0,2020-11-03T12:32:30.854921,470.0,1534374,570.0,570.0,570.0,1403634,570.0
37031,173.1,Civil Bank Ltd,532,2020-11-03,175.0,138,188.0,174.0,CBL,6410103.0,2020-11-03T14:57:06.025081,125.0,167203214,175.0,172.0,175.0,118904106,174.0
47151,195.57,Century Commercial Bank Ltd.,605,2020-11-03,198.0,206,210.0,196.0,CCBL,9221494.0,2020-11-03T14:59:38.163516,136.0,86435808,196.0,195.0,196.0,62428836,196.0
91366,112.0,Century Commercial Bank Ltd. Promoter Share,656,2020-11-03,112.0,1,120.0,112.0,CCBLPO,10232992.0,2020-11-03T11:36:54.581894,112.0,1972509,112.0,112.0,112.0,1869310,112.0
8288,167.73,Central Finance Co. Ltd.,245,2020-11-03,170.0,34,191.0,168.0,CFCL,1390158.0,2020-11-03T14:59:32.265782,106.0,12827234,168.0,166.0,168.0,9298788,168.0
7283,512.66,Chilime Hydropower Company Limited,154,2020-11-03,518.0,72,546.0,514.0,CHCL,3733710.0,2020-11-03T14:59:25.351243,330.0,33637299,513.0,511.0,517.0,24064022,514.0
5758,163.91,Chhyangdi Hydropower Ltd.,2766,2020-11-03,166.0,59,188.0,161.0,CHL,943791.0,2020-11-03T14:59:31.292466,77.0,6019618,163.0,161.0,163.0,2992762,161.0
4417,3728.66,Citizen Investment Trust,210,2020-11-03,3755.0,99,3794.0,3722.0,CIT,16469511.0,2020-11-03T14:59:01.181386,1678.0,14569079,3730.0,3720.0,3755.0,11012532,3722.0
4885,751.49,Civil Laghubitta Bittiya Sanstha Ltd.,693,2020-11-03,761.0,77,1549.0,743.0,CLBSL,3671014.0,2020-11-03T14:59:40.269142,438.0,2563766,734.0,741.0,748.0,2220729,743.0
194950,9.94,Citizens Mutual Fund -1,2780,2020-11-03,10.09,32,11.77,9.81,CMF1,1937226.5,2020-11-03T14:59:31.773204,8.55,87714879,9.79,9.8,9.85,34326200,9.81
