"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","BPCL","24.0","363","8712.00","364","8736.00"
"2","HPPL","20.0","137","2740.00","137","2740.00"
"3","JOSHI","20.0","61","1220.00","60","1200.00"
"4","NHDL","10.0","130","1300.00","135","1350.00"
"5","NIB","49.0","421","20629.00","420","20580.00"
"6","NLIC","22.0","1384","30448.00","1390","30580.00"
"7","NMB","15.0","421","6315.00","422","6330.00"
"8","PFL","14.0","153","2142.00","150","2100.00"
"9","SCB","20.0","646","12920.00","646","12920.00"
"10","UPPER","50.0","221","11050.00","225","11250.00"
"Total :"," "," "," ","97476.0"," ","97786.0"
