"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","AKJCL","20.0","63","1260.00","63","1260.00"
"2","AKPL","197.0","177","34869.00","177","34869.00"
"3","API","381.0","132","50292.00","132","50292.00"
"4","CBBL","19.0","1098","20862.00","1098","20862.00"
"5","CHCL","59.0","428","25252.00","428","25252.00"
"6","CZBIL","3.0","195","585.00","195","585.00"
"7","DDBL","71.0","868","61628.00","868","61628.00"
"8","EBL","37.0","736","27232.00","736","27232.00"
"9","GHL","30.0","73","2190.00","73","2190.00"
"10","HBL","11.0","568","6248.00","568","6248.00"
"11","HDHPC","100.0","95","9500.00","95","9500.00"
"12","HPPL","10.0","170","1700.00","170","1700.00"
"13","JOSHI","20.0","79","1580.00","79","1580.00"
"14","LBL","24.0","238","5712.00","238","5712.00"
"15","LICN","1.0","1474","1474.00","1474","1474.00"
"16","MDB","43.0","338","14534.00","338","14534.00"
"17","NABIL","79.0","855","67545.00","855","67545.00"
"18","NIBPO","277.0","360","99720.00","360","99720.00"
"19","NICA","3.0","588","1764.00","588","1764.00"
"20","NMFBS","7.0","1530","10710.00","1530","10710.00"
"21","NRIC","50.0","871","43550.00","871","43550.00"
"22","PFL","14.0","149","2086.00","149","2086.00"
"23","RHPL","50.0","161","8050.00","161","8050.00"
"24","RLI","10.0","100","1000.00","100","1000.00"
"25","RRHP","10.0","112","1120.00","112","1120.00"
"26","SADBL","10.0","143","1430.00","143","1430.00"
"27","SANIMA","1.0","349","349.00","349","349.00"
"28","SBL","22.0","305","6710.00","305","6710.00"
"29","SHIVM","100.0","704","70400.00","704","70400.00"
"30","SICL","8.0","1353","10824.00","1353","10824.00"
"31","SJCL","20.0","146","2920.00","146","2920.00"
"32","TJVCL","20.0","10","200.00","10","200.00"
"33","UNHPL","50.0","67","3350.00","67","3350.00"
"34","UPPER","40.0","250","10000.00","250","10000.00"
"35","VLBS","13.0","935","12155.00","935","12155.00"
"Total :"," "," "," ","618801.0"," ","618801.0"
