"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","AKBSL","10.0","465","4650.00","465","4650.00"
"2","BPCL","24.0","363","8712.00","364","8736.00"
"3","HPPL","10.0","137","1370.00","137","1370.00"
"4","ILBS","11.0","747","8217.00","749","8239.00"
"5","NIB","49.0","421","20629.00","420","20580.00"
"6","PFL","14.0","153","2142.00","150","2100.00"
"7","SCB","20.0","646","12920.00","647","12940.00"
"8","SDLBSL","10.0","836","8360.00","830","8300.00"
"9","UMHL","10.0","103","1030.00","103","1030.00"
"Total :"," "," "," ","68030.0"," ","67945.0"
