"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","BPCL","24.0","363","8712.00","364","8736.00"
"2","GBLBS","15.0","495","7425.00","497","7455.00"
"3","HPPL","10.0","137","1370.00","137","1370.00"
"4","JOSHI","20.0","61","1220.00","60","1200.00"
"5","NIB","49.0","421","20629.00","421","20629.00"
"6","NLIC","22.0","1384","30448.00","1385","30470.00"
"7","NMB","15.0","421","6315.00","421","6315.00"
"8","NRIC","10.0","624","6240.00","666","6660.00"
"9","PFL","14.0","153","2142.00","150","2100.00"
"10","RRHP","10.0","91","910.00","91","910.00"
"11","SCB","20.0","646","12920.00","646","12920.00"
"12","UPPER","40.0","221","8840.00","224","8960.00"
"Total :"," "," "," ","107171.0"," ","107725.0"
