low_price,high_price,change_price,per_change,open_price,prev_closing,ltp,symbol,volume,ltv
241,246,4.00,1.67,243,239,243.00,PRVU,216925,10
1370,1387,17.00,1.24,1370,1370,1387.00,SKBBL,10025,45
11,11,-0.20,1.8,11,11,10.90,CMF1,499100,10000
324,346,0.00,0,346,330,330.00,NBL,132472,50
178,185,2.00,1.11,178,180,182.00,SIFC,10347,10
850,867,-4.00,0.47,850,860,856.00,NRIC,74520,50
630,643,-5.00,0.79,636,636,631.00,RLI,31320,10
268,274,-1.00,0.37,268,271,270.00,GBIME,88230,57
610,615,-4.00,0.65,615,617,613.00,SLICL,18683,300
206,215,-7.00,3.24,215,216,209.00,LEC,24911,20
508,514,1.00,0.2,510,510,511.00,AIL,10435,10
106,115,1.00,0.93,110,108,109.00,HDHPC,869603,225
426,435,-3.00,0.7,435,429,426.00,UIC,12655,21
150,161,12.00,8.11,150,148,160.00,CFCL,50117,167
176,184,-3.00,1.66,180,181,178.00,HIDCL,189724,200
540,555,-6.00,1.09,540,551,545.00,IGI,3964,10
200,208,0.00,0,208,200,200.00,JFL,28908,65
775,790,-5.00,0.64,782,780,775.00,PIC,14302,50
167,173,0.00,0,173,170,170.00,CBL,268346,114
578,584,-1.00,0.17,584,580,579.00,NICA,46486,51
188,194,0.00,0,193,190,190.00,CCBL,120328,10
10165,10525,-155.00,1.5,10320,10320,10165.00,RBCLPO,777,16
202,222,1.00,0.47,218,214,215.00,AKPL,107644,100
385,391,1.00,0.26,385,389,390.00,OHL,7171,10
187,197,5.00,2.7,194,185,190.00,API,200075,58
172,182,-6.00,3.33,182,180,174.00,NGPL,26714,99
112,115,-1.00,0.87,113,115,114.00,UPCL,63793,10
439,443,1.00,0.23,440,440,441.00,ADBL,31645,15
1787,1806,-17.00,0.94,1805,1807,1790.00,HDL,16104,900
696,705,-9.00,1.28,705,705,696.00,NSEWA,590,10
343,347,-3.00,0.87,345,346,343.00,SANIMA,28675,490
187,208,6.00,3.11,190,193,199.00,AHPC,307313,10
134,142,1.00,0.71,140,140,141.00,HURJA,16265,10
534,541,-5.00,0.93,540,540,535.00,LGIL,9350,100
85,96,-4.00,4.35,96,92,88.00,DHPL,12206,10
191,204,5.00,2.53,201,198,203.00,HPPL,14554,20
955,975,-28.00,2.85,966,984,956.00,SMFBS,1262,500
210,217,1.00,0.47,215,212,213.00,CZBIL,68104,141
164,172,4.00,2.42,168,165,169.00,GMFIL,19625,31
11321,11677,-87.00,0.76,11677,11452,11365.00,RBCL,656,16
129,134,-1.00,0.76,134,132,131.00,GRDBL,10846,30
178,183,1.00,0.56,180,180,181.00,JBBL,22546,20
910,928,9.00,0.99,920,910,919.00,MMFDB,1469,100
735,751,-6.00,0.81,745,741,735.00,SHIVM,16237,50
117,127,-2.00,1.67,122,120,118.00,KRBL,15285,266
260,267,1.00,0.38,267,262,263.00,BOKL,71209,300
227,231,-3.00,1.3,230,230,227.00,MEGA,66878,2830
660,672,-4.00,0.6,660,668,664.00,SCB,12121,110
293,296,-2.00,0.68,293,296,294.00,SHPC,14700,220
1370,1380,-7.00,0.51,1380,1379,1372.00,NLIC,36356,50
249,253,-2.00,0.79,252,252,250.00,LBL,30045,200
