"S.N","Scrip","Current Balance","Pledge Balance","Locking Balance","Freeze Balance","Free Balance","Demat Pending","Remarks"
"1","BPCL","24.0","0.0","0.0","24.0","0.0","0.0","BO Level - Frozen for Debit"
"2","HPPL","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"3","JOSHI","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"4","NHDL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"5","NIB","49.0","0.0","0.0","49.0","0.0","0.0","BO Level - Frozen for Debit"
"6","NLIC","22.0","0.0","0.0","22.0","0.0","0.0","BO Level - Frozen for Debit"
"7","NMB","15.0","0.0","0.0","15.0","0.0","0.0","BO Level - Frozen for Debit"
"8","PFL","14.0","0.0","0.0","14.0","0.0","0.0","BO Level - Frozen for Debit"
"9","SCB","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"10","UPPER","50.0","0.0","0.0","50.0","0.0","0.0","BO Level - Frozen for Debit"
